OTU;Kingdom;Class;Order;Family;Genus;Species
vert19;Animalia;Mammalia;Carnivora;NA;NA;NA
vert2;Animalia;Mammalia;Carnivora;Viverridae;NA;NA
vert20;Animalia;Lepidosauria;Squamata;Gekkonidae;Hemidactylus;NA
vert21;Animalia;Mammalia;Primates;Cercopithecidae;Cercopithecus;NA
vert22;Animalia;Mammalia;Rodentia;NA;NA;NA
vert23;Animalia;Mammalia;Carnivora;NA;NA;NA
vert24;Animalia;Mammalia;Rodentia;NA;NA;NA
vert25;Animalia;Mammalia;Primates;Cercopithecidae;NA;NA
vert26;Animalia;Amphibia;Anura;Pyxicephalidae;Amietia;NA
vert27;Animalia;Amphibia;Anura;Bufonidae;NA;NA
vert28;Animalia;Lepidosauria;Squamata;Chamaeleonidae;Chamaeleo;Chamaeleo dilepis
vert29;Animalia;NA;Testudines;Testudinidae;NA;NA
vert3;Animalia;Aves;Coliiformes;Coliidae;Colius;Colius striatus
vert30;Animalia;Mammalia;Artiodactyla;Bovidae;Bos;NA
vert31;Animalia;Mammalia;Carnivora;Felidae;NA;NA
vert32;Animalia;NA;NA;NA;NA;NA
vert33;Animalia;NA;NA;NA;NA;NA
vert34;Animalia;Lepidosauria;Squamata;Leptotyphlopidae;Leptotyphlops;NA
vert35;Animalia;Mammalia;Artiodactyla;Bovidae;Aepyceros;Aepyceros melampus
vert36;Animalia;Aves;Galliformes;Phasianidae;NA;NA
vert37;Animalia;Lepidosauria;Squamata;NA;NA;NA
vert38;Animalia;Mammalia;Rodentia;NA;NA;NA
vert39;Animalia;Amphibia;Anura;Rhacophoridae;Chiromantis;NA
vert4;Animalia;Mammalia;Carnivora;NA;NA;NA
vert40;Animalia;Amphibia;Anura;NA;NA;NA
vert41;Animalia;NA;NA;NA;NA;NA
vert42;Animalia;Mammalia;Artiodactyla;Bovidae;NA;NA
vert43;Animalia;Amphibia;Anura;Hyperoliidae;Hyperolius;NA
vert44;Animalia;Amphibia;Anura;Ptychadenidae;Ptychadena;Ptychadena nuerensis
vert45;Animalia;Lepidosauria;Squamata;Scincidae;Mabuya;NA
vert46;Animalia;Amphibia;Anura;Hyperoliidae;Kassina;Kassina senegalensis
vert47;Animalia;Lepidosauria;Squamata;NA;NA;NA
vert48;Animalia;Lepidosauria;Squamata;Scincidae;Afroablepharus;NA
vert49;Animalia;Mammalia;Artiodactyla;Suidae;NA;NA
vert5;Animalia;NA;NA;NA;NA;NA
vert50;Animalia;Mammalia;Primates;Galagidae;NA;NA
vert51;Animalia;Aves;Passeriformes;NA;NA;NA
vert52;Animalia;NA;NA;NA;NA;NA
vert53;Animalia;NA;NA;NA;NA;NA
vert54;Animalia;Mammalia;Rodentia;NA;NA;NA
vert55;Animalia;Mammalia;Artiodactyla;Bovidae;NA;NA
vert56;Animalia;NA;NA;NA;NA;NA
vert57;Animalia;NA;NA;NA;NA;NA
vert58;Animalia;NA;NA;NA;NA;NA
vert59;Animalia;Amphibia;Anura;Pyxicephalidae;Tomopterna;NA
vert6;Animalia;Mammalia;Primates;Cercopithecidae;NA;NA
vert60;Animalia;NA;NA;NA;NA;NA
vert61;Animalia;NA;NA;NA;NA;NA
vert62;Animalia;Lepidosauria;Squamata;NA;NA;NA
vert63;Animalia;NA;NA;NA;NA;NA
vert64;Animalia;Mammalia;Primates;Hominidae;Homo;Homo sapiens
vert65;Animalia;NA;NA;NA;NA;NA
vert66;Animalia;NA;NA;NA;NA;NA
vert67;Animalia;Mammalia;Rodentia;Gliridae;Graphiurus;Graphiurus platyops
vert68;Animalia;NA;NA;NA;NA;NA
vert69;Animalia;NA;NA;NA;NA;NA
vert7;Animalia;Mammalia;Hyracoidea;Procaviidae;Procavia;Procavia capensis
vert70;Animalia;NA;NA;NA;NA;NA
vert71;Animalia;NA;NA;NA;NA;NA
vert72;Animalia;Lepidosauria;Squamata;NA;NA;NA
vert73;Animalia;Mammalia;Primates;Hominidae;Homo;Homo sapiens
vert74;Animalia;NA;NA;NA;NA;NA
vert75;Animalia;Mammalia;Primates;Hominidae;NA;NA
vert76;Animalia;NA;NA;NA;NA;NA
vert77;Animalia;NA;NA;NA;NA;NA
vert78;Animalia;NA;NA;NA;NA;NA
vert8;Animalia;Mammalia;NA;NA;NA;NA
vert9;Animalia;Mammalia;Carnivora;NA;NA;NA
zeale1;Animalia;Insecta;NA;NA;NA;NA
zeale10;Animalia;Insecta;Coleoptera;Scarabaeidae;Onthophagus;Onthophagus sugillatus
zeale100;Animalia;NA;NA;NA;NA;NA
zeale101;Animalia;Insecta;Diptera;Sarcophagidae;Sarcophaga;NA
zeale102;Animalia;Insecta;Diptera;NA;NA;NA
zeale103;Animalia;NA;NA;NA;NA;NA
zeale104;Animalia;Insecta;Hemiptera;NA;NA;NA
zeale105;Animalia;NA;NA;NA;NA;NA
zeale106;Animalia;NA;NA;NA;NA;NA
zeale107;Animalia;NA;NA;NA;NA;NA
zeale108;Animalia;NA;NA;NA;NA;NA
zeale109;Animalia;NA;NA;NA;NA;NA
zeale11;Animalia;NA;NA;NA;NA;NA
zeale110;Animalia;Chromadorea;NA;NA;NA;NA
zeale111;Animalia;Bdelloidea;NA;NA;NA;NA
zeale112;Animalia;Florideophyceae;Batrachospermales;Batrachospermaceae;Nothocladus;Nothocladus verruculosus
zeale113;Animalia;Insecta;NA;NA;NA;NA
zeale114;Animalia;Insecta;NA;NA;NA;NA
zeale115;Animalia;NA;NA;NA;NA;NA
zeale116;Animalia;Chilopoda;Scolopendromorpha;NA;NA;NA
zeale117;Animalia;NA;NA;NA;NA;NA
zeale118;Animalia;NA;NA;NA;NA;NA
zeale119;Animalia;Florideophyceae;NA;NA;NA;NA
zeale12;Animalia;Insecta;NA;NA;NA;NA
zeale120;Animalia;Insecta;NA;NA;NA;NA
zeale121;Animalia;NA;NA;NA;NA;NA
zeale122;Animalia;Insecta;Orthoptera;Acrididae;NA;NA
zeale123;Animalia;Insecta;NA;NA;NA;NA
zeale124;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale125;Animalia;Insecta;NA;NA;NA;NA
zeale126;Animalia;Bdelloidea;NA;NA;NA;NA
zeale127;Animalia;Insecta;Hemiptera;NA;NA;NA
zeale128;Animalia;Chromadorea;Rhabditida;Rhabditidae;Caenorhabditis;NA
zeale129;Animalia;Chromadorea;NA;NA;NA;NA
zeale13;Animalia;Insecta;NA;NA;NA;NA
zeale130;Animalia;NA;NA;NA;NA;NA
zeale131;Animalia;NA;NA;NA;NA;NA
zeale132;Animalia;NA;NA;NA;NA;NA
zeale133;Animalia;Arachnida;Araneae;NA;NA;NA
zeale134;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale135;Animalia;NA;NA;NA;NA;NA
zeale136;Animalia;NA;NA;NA;NA;NA
zeale137;Animalia;Insecta;NA;NA;NA;NA
zeale138;Animalia;Insecta;Diptera;Cecidomyiidae;NA;NA
zeale139;Animalia;NA;NA;NA;NA;NA
zeale14;Animalia;NA;NA;NA;NA;NA
zeale140;Animalia;Bdelloidea;NA;NA;NA;NA
zeale141;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale142;Animalia;Arachnida;Sarcoptiformes;NA;NA;NA
zeale143;Animalia;Insecta;Diptera;Phoridae;NA;NA
zeale144;Animalia;Insecta;NA;NA;NA;NA
zeale145;Animalia;NA;NA;NA;NA;NA
zeale146;Animalia;Chromadorea;Rhabditida;NA;NA;NA
zeale147;Animalia;Arachnida;Araneae;Salticidae;NA;NA
zeale148;Animalia;NA;NA;NA;NA;NA
zeale149;Animalia;Insecta;Diptera;Sarcophagidae;Sarcophaga;NA
zeale15;Animalia;Insecta;NA;NA;NA;NA
zeale150;Animalia;NA;NA;NA;NA;NA
zeale151;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale152;Animalia;Insecta;Diptera;NA;NA;NA
zeale153;Animalia;NA;NA;NA;NA;NA
zeale154;Animalia;Insecta;Diptera;NA;NA;NA
zeale155;Animalia;Insecta;NA;NA;NA;NA
zeale156;Animalia;Magnoliopsida;NA;NA;NA;NA
zeale157;Animalia;NA;NA;NA;NA;NA
zeale158;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale159;Animalia;NA;NA;NA;NA;NA
zeale16;Animalia;NA;NA;NA;NA;NA
zeale160;Animalia;Bdelloidea;NA;NA;NA;NA
zeale161;Animalia;NA;NA;NA;NA;NA
zeale162;Animalia;NA;NA;NA;NA;NA
zeale163;Animalia;NA;NA;NA;NA;NA
zeale164;Animalia;NA;NA;NA;NA;NA
zeale165;Animalia;Insecta;Diptera;Cecidomyiidae;NA;NA
zeale166;Animalia;Bdelloidea;NA;NA;NA;NA
zeale167;Animalia;NA;NA;NA;NA;NA
zeale168;Animalia;Insecta;Hemiptera;Rhyparochromidae;NA;NA
zeale169;Animalia;NA;NA;NA;NA;NA
zeale17;Animalia;NA;NA;NA;NA;NA
zeale170;Animalia;Arachnida;Sarcoptiformes;Brachychthoniidae;NA;NA
zeale171;Animalia;Insecta;NA;NA;NA;NA
zeale172;Animalia;NA;NA;NA;NA;NA
zeale173;Animalia;NA;NA;NA;NA;NA
zeale174;Animalia;NA;NA;NA;NA;NA
zeale175;Animalia;NA;NA;NA;NA;NA
zeale176;Animalia;NA;NA;NA;NA;NA
zeale177;Animalia;Insecta;NA;NA;NA;NA
zeale178;Animalia;NA;NA;NA;NA;NA
zeale179;Animalia;NA;NA;NA;NA;NA
zeale18;Animalia;Insecta;NA;NA;NA;NA
zeale180;Animalia;NA;NA;NA;NA;NA
zeale181;Animalia;Arachnida;Trombidiformes;Oxidae;Oxus;Oxus sp. 20280C
zeale182;Animalia;NA;NA;NA;NA;NA
zeale183;Animalia;Insecta;Orthoptera;Acrididae;Schistocerca;NA
zeale184;Animalia;NA;NA;NA;NA;NA
zeale185;Animalia;NA;NA;NA;NA;NA
zeale186;Animalia;NA;NA;NA;NA;NA
zeale187;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale188;Animalia;Bdelloidea;NA;NA;NA;NA
zeale189;Animalia;Insecta;Orthoptera;Gryllidae;NA;NA
zeale19;Animalia;Insecta;Coleoptera;Tenebrionidae;Tenebrio;Tenebrio molitor
zeale190;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale191;Animalia;Insecta;Coleoptera;Scarabaeidae;Apotolamprus;Apotolamprus quadrinotatus
zeale192;Animalia;NA;NA;NA;NA;NA
zeale193;Animalia;NA;NA;NA;NA;NA
zeale194;Animalia;NA;NA;NA;NA;NA
zeale195;Animalia;NA;Saprolegniales;Saprolegniaceae;Leptolegnia;Leptolegnia sp. BOLD:AAX5717
zeale196;Animalia;Insecta;NA;NA;NA;NA
zeale197;Animalia;NA;NA;NA;NA;NA
zeale198;Animalia;NA;NA;NA;NA;NA
zeale199;Animalia;Bdelloidea;NA;NA;NA;NA
zeale2;Animalia;NA;NA;NA;NA;NA
zeale20;Animalia;Insecta;NA;NA;NA;NA
zeale200;Animalia;NA;NA;NA;NA;NA
zeale201;Animalia;Eustigmatophyceae;Eustigmatales;Monodopsidaceae;Monodopsis;Monodopsis sp. MarTras21
zeale202;Animalia;Insecta;Diptera;Cecidomyiidae;NA;NA
zeale203;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale204;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale205;Animalia;Insecta;Orthoptera;Acrididae;NA;NA
zeale206;Animalia;Insecta;Orthoptera;Acrididae;NA;NA
zeale207;Animalia;Insecta;Diptera;NA;NA;NA
zeale208;Animalia;Insecta;Diptera;Sarcophagidae;NA;NA
zeale209;Animalia;NA;NA;NA;NA;NA
zeale21;Animalia;NA;NA;NA;NA;NA
zeale210;Animalia;NA;NA;NA;NA;NA
zeale211;Animalia;Chromadorea;Rhabditida;NA;NA;NA
zeale212;Animalia;NA;NA;NA;NA;NA
zeale213;Animalia;NA;NA;NA;NA;NA
zeale214;Animalia;NA;NA;NA;NA;NA
zeale215;Animalia;Phaeophyceae;Sphacelariales;Cladostephaceae;Cladostephus;Cladostephus spongiosus
zeale216;Animalia;NA;NA;NA;NA;NA
zeale217;Animalia;NA;NA;NA;NA;NA
zeale218;Animalia;NA;NA;NA;NA;NA
zeale219;Animalia;Bdelloidea;NA;NA;NA;NA
zeale22;Animalia;Arachnida;Araneae;NA;NA;NA
zeale220;Animalia;Chromadorea;Rhabditida;NA;NA;Rhabditida sp. 3021ed
zeale221;Animalia;NA;NA;NA;NA;NA
zeale222;Animalia;Insecta;Coleoptera;Cantharidae;NA;NA
zeale223;Animalia;NA;NA;NA;NA;NA
zeale224;Animalia;Insecta;Hymenoptera;NA;NA;NA
zeale225;Animalia;NA;NA;NA;NA;NA
zeale226;Animalia;NA;NA;NA;NA;NA
zeale227;Animalia;Insecta;NA;NA;NA;NA
zeale228;Animalia;NA;NA;NA;NA;NA
zeale229;Animalia;NA;NA;NA;NA;NA
zeale23;Animalia;Arachnida;Sarcoptiformes;NA;NA;NA
zeale230;Animalia;Insecta;NA;NA;NA;NA
zeale231;Animalia;NA;NA;NA;NA;NA
zeale232;Animalia;NA;NA;NA;NA;NA
zeale233;Animalia;Bdelloidea;NA;NA;NA;NA
zeale234;Animalia;Arachnida;Araneae;NA;NA;NA
zeale235;Animalia;Insecta;NA;NA;NA;NA
zeale236;Animalia;NA;NA;NA;NA;NA
zeale237;Animalia;NA;NA;NA;NA;NA
zeale238;Animalia;NA;NA;NA;NA;NA
zeale239;Animalia;Insecta;NA;NA;NA;NA
zeale24;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale240;Animalia;Insecta;Orthoptera;Acrididae;NA;NA
zeale241;Animalia;NA;NA;NA;NA;NA
zeale242;Animalia;NA;NA;NA;NA;NA
zeale243;Animalia;Insecta;Hymenoptera;Braconidae;Tebennotoma;Tebennotoma sp. 3 DLJQ-2016
zeale244;Animalia;NA;NA;NA;NA;NA
zeale245;Animalia;Arachnida;Sarcoptiformes;NA;NA;NA
zeale246;Animalia;NA;NA;NA;NA;NA
zeale247;Animalia;NA;NA;NA;NA;NA
zeale248;Animalia;NA;NA;NA;NA;NA
zeale249;Animalia;NA;NA;NA;NA;NA
zeale25;Animalia;Insecta;NA;NA;NA;NA
zeale250;Animalia;NA;NA;NA;NA;NA
zeale251;Animalia;NA;NA;NA;NA;NA
zeale252;Animalia;Insecta;Thysanoptera;Thripidae;Parabaliothrips;Parabaliothrips takahashii
zeale253;Animalia;NA;NA;NA;NA;NA
zeale254;Animalia;NA;NA;NA;NA;NA
zeale255;Animalia;Arachnida;Araneae;Clubionidae;Clubiona;NA
zeale256;Animalia;NA;NA;NA;NA;NA
zeale257;Animalia;Arachnida;Trombidiformes;Eriophyidae;Aceria;Aceria tulipae
zeale258;Animalia;Bdelloidea;NA;NA;NA;NA
zeale259;Animalia;NA;NA;NA;NA;NA
zeale26;Animalia;Insecta;Diptera;NA;NA;NA
zeale260;Animalia;Insecta;Diptera;NA;NA;NA
zeale261;Animalia;NA;NA;NA;NA;NA
zeale262;Animalia;NA;NA;NA;NA;NA
zeale263;Animalia;NA;NA;NA;NA;NA
zeale264;Animalia;Insecta;Orthoptera;Acrididae;NA;NA
zeale265;Animalia;NA;NA;NA;NA;NA
zeale266;Animalia;NA;NA;NA;NA;NA
zeale267;Animalia;NA;NA;NA;NA;NA
zeale268;Animalia;NA;NA;NA;NA;NA
zeale269;Animalia;NA;NA;NA;NA;NA
zeale27;Animalia;Insecta;Diptera;NA;NA;NA
zeale270;Animalia;NA;NA;NA;NA;NA
zeale271;Animalia;NA;NA;NA;NA;NA
zeale272;Animalia;Arachnida;Sarcoptiformes;NA;NA;NA
zeale273;Animalia;NA;NA;NA;NA;NA
zeale274;Animalia;NA;NA;NA;NA;NA
zeale275;Animalia;NA;NA;NA;NA;NA
zeale276;Animalia;NA;NA;NA;NA;NA
zeale277;Animalia;Insecta;Diptera;NA;NA;NA
zeale278;Animalia;NA;NA;NA;NA;NA
zeale279;Animalia;NA;Saprolegniales;Saprolegniaceae;Aphanomyces;Aphanomyces invadans
zeale28;Animalia;NA;NA;NA;NA;NA
zeale280;Animalia;NA;NA;NA;NA;NA
zeale281;Animalia;NA;NA;NA;NA;NA
zeale282;Animalia;NA;NA;NA;NA;NA
zeale283;Animalia;Flabellinia;NA;Vannellidae;Vannella;Vannella calycinucleolus
zeale284;Animalia;Insecta;Hymenoptera;NA;NA;NA
zeale285;Animalia;Insecta;Hemiptera;Cicadellidae;NA;NA
zeale286;Animalia;NA;NA;NA;NA;NA
zeale287;Animalia;NA;NA;NA;NA;NA
zeale288;Animalia;Insecta;NA;NA;NA;NA
zeale289;Animalia;NA;NA;NA;NA;NA
zeale29;Animalia;Insecta;Hymenoptera;Scelionidae;NA;NA
zeale290;Animalia;NA;NA;NA;NA;NA
zeale291;Animalia;NA;NA;NA;NA;NA
zeale292;Animalia;NA;NA;NA;NA;NA
zeale293;Animalia;Insecta;Diptera;NA;NA;NA
zeale294;Animalia;Insecta;Diptera;Phoridae;Megaselia;Megaselia scalaris
zeale295;Animalia;NA;NA;NA;NA;NA
zeale296;Animalia;NA;NA;NA;NA;NA
zeale297;Animalia;NA;NA;NA;NA;NA
zeale298;Animalia;NA;NA;NA;NA;NA
zeale299;Animalia;NA;NA;NA;NA;NA
zeale3;Animalia;Insecta;NA;NA;NA;NA
zeale30;Animalia;Collembola;NA;NA;NA;NA
zeale300;Animalia;NA;NA;NA;NA;NA
zeale301;Animalia;Insecta;NA;NA;NA;NA
zeale302;Animalia;NA;NA;NA;NA;NA
zeale303;Animalia;NA;NA;NA;NA;NA
zeale304;Animalia;NA;NA;NA;NA;NA
zeale305;Animalia;NA;NA;NA;NA;NA
zeale306;Animalia;NA;NA;NA;NA;NA
zeale307;Animalia;NA;NA;NA;NA;NA
zeale308;Animalia;Bdelloidea;NA;NA;NA;NA
zeale309;Animalia;NA;NA;NA;NA;NA
zeale31;Animalia;Insecta;NA;NA;NA;NA
zeale310;Animalia;NA;NA;NA;NA;NA
zeale311;Animalia;NA;NA;NA;NA;NA
zeale312;Animalia;NA;NA;NA;NA;NA
zeale313;Animalia;NA;Saprolegniales;Saprolegniaceae;Aphanomyces;Aphanomyces laevis
zeale314;Animalia;NA;NA;NA;NA;NA
zeale315;Animalia;NA;NA;NA;NA;NA
zeale316;Animalia;NA;NA;NA;NA;NA
zeale317;Animalia;NA;NA;NA;NA;NA
zeale318;Animalia;Arachnida;Sarcoptiformes;Proctophyllodidae;Proctophyllodes;Proctophyllodes motacillae
zeale319;Animalia;NA;NA;NA;NA;NA
zeale32;Animalia;NA;NA;NA;NA;NA
zeale320;Animalia;NA;NA;NA;NA;NA
zeale321;Animalia;Bdelloidea;NA;NA;NA;NA
zeale322;Animalia;NA;NA;NA;NA;NA
zeale323;Animalia;NA;NA;NA;NA;NA
zeale324;Animalia;Insecta;Diptera;Culicidae;NA;NA
zeale325;Animalia;Bdelloidea;NA;NA;NA;NA
zeale326;Animalia;NA;NA;NA;NA;NA
zeale327;Animalia;NA;NA;NA;NA;NA
zeale328;Animalia;NA;Saprolegniales;Saprolegniaceae;Achlya;Achlya heterosexualis
zeale329;Animalia;NA;NA;NA;NA;NA
zeale33;Animalia;Insecta;Diptera;NA;NA;NA
zeale330;Animalia;Arachnida;Sarcoptiformes;Parakalummidae;NA;Parakalummidae sp. BOLD:ACL9457
zeale331;Animalia;Bdelloidea;NA;NA;NA;NA
zeale332;Animalia;Arachnida;Trombidiformes;Eupodidae;NA;NA
zeale333;Animalia;NA;NA;NA;NA;NA
zeale334;Animalia;NA;NA;NA;NA;NA
zeale335;Animalia;NA;NA;NA;NA;NA
zeale336;Animalia;NA;NA;NA;NA;NA
zeale337;Animalia;Actinopteri;Cyprinodontiformes;Rivulidae;Nematolebias;Nematolebias catimbau
zeale338;Animalia;Bdelloidea;NA;NA;NA;NA
zeale339;Animalia;NA;NA;NA;NA;NA
zeale34;Animalia;Arachnida;Trombidiformes;Eriophyidae;Aceria;Aceria tosichella
zeale340;Animalia;NA;NA;NA;NA;NA
zeale341;Animalia;Insecta;Trichoptera;NA;NA;NA
zeale342;Animalia;NA;NA;NA;NA;NA
zeale343;Animalia;NA;NA;NA;NA;NA
zeale344;Animalia;NA;NA;NA;NA;NA
zeale345;Animalia;NA;NA;NA;NA;NA
zeale346;Animalia;NA;NA;NA;NA;NA
zeale347;Animalia;Insecta;Lepidoptera;NA;NA;NA
zeale348;Animalia;Insecta;Orthoptera;Acrididae;NA;NA
zeale349;Animalia;NA;NA;NA;NA;NA
zeale35;Animalia;Insecta;Diptera;NA;NA;NA
zeale350;Animalia;NA;NA;NA;NA;NA
zeale351;Animalia;NA;NA;NA;NA;NA
zeale352;Animalia;NA;NA;NA;NA;NA
zeale353;Animalia;NA;NA;NA;NA;NA
zeale354;Animalia;NA;NA;NA;NA;NA
zeale355;Animalia;NA;NA;NA;NA;NA
zeale356;Animalia;NA;NA;NA;NA;NA
zeale357;Animalia;NA;NA;NA;NA;NA
zeale358;Animalia;Chromadorea;NA;NA;NA;NA
zeale359;Animalia;Insecta;Thysanoptera;Phlaeothripidae;NA;NA
zeale36;Animalia;NA;NA;NA;NA;NA
zeale360;Animalia;NA;NA;NA;NA;NA
zeale361;Animalia;NA;NA;NA;NA;NA
zeale362;Animalia;NA;NA;NA;NA;NA
zeale363;Animalia;NA;NA;NA;NA;NA
zeale364;Animalia;NA;NA;NA;NA;NA
zeale365;Animalia;NA;NA;NA;NA;NA
zeale366;Animalia;NA;NA;NA;NA;NA
zeale367;Animalia;NA;NA;NA;NA;NA
zeale368;Animalia;NA;NA;NA;NA;NA
zeale369;Animalia;NA;NA;NA;NA;NA
zeale37;Animalia;NA;NA;NA;NA;NA
zeale370;Animalia;Bangiophyceae;Bangiales;Bangiaceae;NA;NA
zeale371;Animalia;Bdelloidea;NA;NA;NA;NA
zeale372;Animalia;NA;NA;NA;NA;NA
zeale373;Animalia;NA;NA;NA;NA;NA
zeale374;Animalia;NA;NA;NA;NA;NA
zeale375;Animalia;Insecta;Hymenoptera;NA;NA;NA
zeale376;Animalia;NA;NA;NA;NA;NA
zeale377;Animalia;NA;NA;NA;NA;NA
zeale378;Animalia;NA;NA;NA;NA;NA
zeale379;Animalia;NA;NA;NA;NA;NA
zeale38;Animalia;Insecta;Diptera;NA;NA;NA
zeale380;Animalia;NA;NA;NA;NA;NA
zeale381;Animalia;NA;NA;NA;NA;NA
zeale382;Animalia;Chromadorea;NA;NA;NA;NA
zeale383;Animalia;NA;NA;NA;NA;NA
zeale384;Animalia;NA;NA;NA;NA;NA
zeale385;Animalia;NA;NA;NA;NA;NA
zeale386;Animalia;NA;NA;NA;NA;NA
zeale387;Animalia;NA;NA;NA;NA;NA
zeale388;Animalia;NA;NA;NA;NA;NA
zeale389;Animalia;NA;Myzocytiopsidales;Myzocytiopsidaceae;Chlamydomyzium;NA
zeale39;Animalia;Bdelloidea;NA;NA;NA;NA
zeale390;Animalia;NA;NA;NA;NA;NA
zeale391;Animalia;NA;NA;NA;NA;NA
zeale392;Animalia;NA;NA;NA;NA;NA
zeale393;Animalia;NA;NA;NA;NA;NA
zeale394;Animalia;NA;NA;NA;NA;NA
zeale395;Animalia;NA;NA;NA;NA;NA
zeale396;Animalia;NA;NA;NA;NA;NA
zeale397;Animalia;NA;NA;NA;NA;NA
zeale398;Animalia;NA;NA;NA;NA;NA
zeale399;Animalia;NA;NA;NA;NA;NA
zeale4;Animalia;Insecta;NA;NA;NA;NA
zeale40;Animalia;Insecta;Hemiptera;NA;NA;NA
zeale400;Animalia;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia cf. recta RT-2009
zeale401;Animalia;Arachnida;Sarcoptiformes;NA;NA;NA
zeale402;Animalia;Collembola;Poduromorpha;NA;NA;NA
zeale403;Animalia;NA;NA;NA;NA;NA
zeale404;Animalia;NA;NA;NA;NA;NA
zeale405;Animalia;NA;Peronosporales;Peronosporaceae;Phytophthora;NA
zeale406;Animalia;NA;NA;NA;NA;NA
zeale407;Animalia;NA;NA;NA;NA;NA
zeale408;Animalia;NA;NA;NA;NA;NA
zeale409;Animalia;NA;NA;NA;NA;NA
zeale41;Animalia;Insecta;Diptera;NA;NA;NA
zeale410;Animalia;NA;NA;NA;NA;NA
zeale411;Animalia;NA;NA;NA;NA;NA
zeale412;Animalia;NA;NA;NA;NA;NA
zeale413;Animalia;NA;NA;NA;NA;NA
zeale414;Animalia;NA;NA;NA;NA;NA
zeale415;Animalia;NA;NA;NA;NA;NA
zeale416;Animalia;NA;NA;NA;NA;NA
zeale417;Animalia;NA;NA;NA;NA;NA
zeale418;Animalia;Insecta;Hemiptera;Scutelleridae;NA;NA
zeale419;Animalia;NA;NA;NA;NA;NA
zeale42;Animalia;Insecta;Hymenoptera;Megaspilidae;NA;NA
zeale420;Animalia;Phaeophyceae;Ectocarpales;Acinetosporaceae;Hincksia;NA
zeale421;Animalia;NA;NA;NA;NA;NA
zeale422;Animalia;NA;NA;NA;NA;NA
zeale423;Animalia;NA;NA;NA;NA;NA
zeale424;Animalia;NA;NA;NA;NA;NA
zeale425;Animalia;NA;NA;NA;NA;NA
zeale426;Animalia;NA;NA;NA;NA;NA
zeale427;Animalia;NA;NA;NA;NA;NA
zeale428;Animalia;NA;NA;NA;NA;NA
zeale429;Animalia;NA;NA;NA;NA;NA
zeale43;Animalia;NA;NA;NA;NA;NA
zeale430;Animalia;NA;NA;NA;NA;NA
zeale431;Animalia;NA;NA;NA;NA;NA
zeale432;Animalia;NA;NA;NA;NA;NA
zeale433;Animalia;NA;NA;NA;NA;NA
zeale434;Animalia;NA;NA;NA;NA;NA
zeale435;Animalia;NA;NA;NA;NA;NA
zeale436;Animalia;NA;NA;NA;NA;NA
zeale437;Animalia;NA;NA;NA;NA;NA
zeale438;Animalia;NA;NA;NA;NA;NA
zeale439;Animalia;NA;NA;NA;NA;NA
zeale44;Animalia;Insecta;Diptera;NA;NA;NA
zeale440;Animalia;NA;NA;NA;NA;NA
zeale441;Animalia;NA;NA;NA;NA;NA
zeale442;Animalia;Chromadorea;Strongylida;Heligmosomatidae;Heligmosomoides;Heligmosomoides polygyrus
zeale443;Animalia;Aves;Passeriformes;Acanthizidae;Gerygone;Gerygone mouki
zeale444;Animalia;NA;NA;NA;NA;NA
zeale445;Animalia;NA;NA;NA;NA;NA
zeale446;Animalia;NA;NA;NA;NA;NA
zeale447;Animalia;NA;NA;NA;NA;NA
zeale448;Animalia;Insecta;NA;NA;NA;NA
zeale449;Animalia;Insecta;NA;NA;NA;NA
zeale45;Animalia;Bdelloidea;NA;NA;NA;NA
zeale450;Animalia;NA;NA;NA;NA;NA
zeale451;Animalia;Insecta;NA;NA;NA;NA
zeale452;Animalia;Florideophyceae;Ceramiales;Rhodomelaceae;NA;NA
zeale453;Animalia;NA;NA;NA;NA;NA
zeale454;Animalia;Bdelloidea;NA;NA;NA;NA
zeale455;Animalia;NA;NA;NA;NA;NA
zeale456;Animalia;NA;NA;NA;NA;NA
zeale457;Animalia;NA;NA;NA;NA;NA
zeale458;Animalia;NA;NA;NA;NA;NA
zeale459;Animalia;NA;NA;NA;NA;NA
zeale46;Animalia;Insecta;NA;NA;NA;NA
zeale460;Animalia;NA;NA;NA;NA;NA
zeale461;Animalia;NA;NA;NA;NA;NA
zeale462;Animalia;NA;NA;NA;NA;NA
zeale463;Animalia;NA;NA;NA;NA;NA
zeale464;Animalia;NA;NA;NA;NA;NA
zeale465;Animalia;NA;NA;NA;NA;NA
zeale466;Animalia;NA;NA;NA;NA;NA
zeale467;Animalia;NA;NA;NA;NA;NA
zeale468;Animalia;NA;NA;NA;NA;NA
zeale469;Animalia;NA;NA;NA;NA;NA
zeale47;Animalia;Insecta;Lepidoptera;Nymphalidae;NA;NA
