OTU;Kingdom;Class;Order;Family;Genus;Species
trac10;Plantae;Magnoliopsida;Fabales;Fabaceae;NA;Fabaceae sp. TRK-2015
trac100;Plantae;Magnoliopsida;Lamiales;Stilbaceae;Nuxia;Nuxia floribunda
trac101;Plantae;Magnoliopsida;Asterales;Asteraceae;NA;NA
trac102;Plantae;NA;NA;NA;NA;NA
trac103;Plantae;Magnoliopsida;Ericales;Ebenaceae;Diospyros;NA
trac104;Plantae;Magnoliopsida;Lamiales;Acanthaceae;Dicliptera;NA
trac105;Plantae;Magnoliopsida;Sapindales;Meliaceae;Lepidotrichilia;Lepidotrichilia volkensii
trac106;Plantae;Magnoliopsida;Myrtales;Myrtaceae;Eucalyptus;NA
trac107;Plantae;Magnoliopsida;Celastrales;Celastraceae;Catha;Catha edulis
trac108;Plantae;Magnoliopsida;Poales;Poaceae;Ehrharta;NA
trac109;Plantae;Magnoliopsida;Malpighiales;Euphorbiaceae;NA;NA
trac11;Plantae;Magnoliopsida;Celastrales;Celastraceae;NA;NA
trac110;Plantae;Magnoliopsida;Malpighiales;Euphorbiaceae;NA;NA
trac111;Plantae;Magnoliopsida;Asterales;Asteraceae;Senecio;NA
trac112;Plantae;NA;NA;NA;NA;NA
trac113;Plantae;Magnoliopsida;Fabales;Fabaceae;Indigofera;NA
trac114;Plantae;Magnoliopsida;Saxifragales;Crassulaceae;Crassula;NA
trac115;Plantae;Magnoliopsida;Asterales;Asteraceae;Bidens;NA
trac116;Plantae;NA;NA;NA;NA;NA
trac117;Plantae;NA;NA;NA;NA;NA
trac118;Plantae;Magnoliopsida;Malpighiales;Euphorbiaceae;Euphorbia;Euphorbia hirta
trac119;Plantae;Magnoliopsida;Rosales;Moraceae;Ficus;Ficus racemosa
trac12;Plantae;Magnoliopsida;Caryophyllales;Amaranthaceae;Achyranthes;NA
trac120;Plantae;Magnoliopsida;Celastrales;Celastraceae;Maytenus;Maytenus undata
trac121;Plantae;Magnoliopsida;NA;NA;NA;NA
trac122;Plantae;Magnoliopsida;Nymphaeales;Nymphaeaceae;Nymphaea;NA
trac123;Plantae;Magnoliopsida;Sapindales;Anacardiaceae;Mangifera;NA
trac124;Plantae;Magnoliopsida;Rosales;Ulmaceae;Chaetachme;Chaetachme aristata
trac125;Plantae;Magnoliopsida;Sapindales;Meliaceae;Trichilia;Trichilia capitata
trac126;Plantae;Magnoliopsida;Gentianales;Apocynaceae;Cryptolepis;NA
trac127;Plantae;Magnoliopsida;Malvales;Malvaceae;NA;NA
trac128;Plantae;Magnoliopsida;Fabales;Fabaceae;Indigofera;NA
trac129;Plantae;Magnoliopsida;Poales;Poaceae;Enteropogon;NA
trac13;Plantae;Magnoliopsida;Rosales;Moraceae;Morus;NA
trac130;Plantae;Magnoliopsida;Malvales;Malvaceae;Hibiscus;Hibiscus sturtii
trac131;Plantae;Magnoliopsida;Boraginales;Cordiaceae;Cordia;NA
trac132;Plantae;Magnoliopsida;NA;NA;NA;NA
trac133;Plantae;NA;Rotaliida;NA;NA;NA
trac134;Plantae;NA;NA;NA;NA;NA
trac135;Plantae;Magnoliopsida;NA;NA;NA;NA
trac136;Plantae;Magnoliopsida;Asterales;Asteraceae;Bidens;NA
trac137;Plantae;Sordariomycetes;Sordariales;Sordariaceae;Sordaria;Sordaria macrospora
trac138;Plantae;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;NA
trac139;Plantae;Magnoliopsida;Oxalidales;Oxalidaceae;Oxalis;NA
